epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,170767,1.16143,0.89483,1.26494,0.5032,0.39299,0.38346,0.18053,1.99286,1.95038,1.83214,0.000700237,0.000700237,0.000700237
60,172480,1.15362,0.86579,1.26692,0.60341,0.35491,0.37553,0.17243,2.01346,2.00866,1.84694,0.000683568,0.000683568,0.000683568
61,176280,1.13136,0.87116,1.2465,0.58697,0.33375,0.37442,0.16462,2.03689,2.00464,1.87284,0.0006669,0.0006669,0.0006669
62,178712,1.1326,0.85223,1.24384,0.51683,0.40006,0.39242,0.1798,1.9495,1.91255,1.80299,0.000650232,0.000650232,0.000650232
63,181161,1.13614,0.86245,1.24394,0.55177,0.38582,0.39278,0.18052,1.96419,1.93596,1.81008,0.000633563,0.000633563,0.000633563
64,183617,1.13211,0.85414,1.24722,0.52323,0.3822,0.38514,0.16792,2.06162,1.97227,1.88369,0.000616895,0.000616895,0.000616895
65,186047,1.11267,0.84267,1.23061,0.55753,0.39832,0.40333,0.17996,2.05259,1.87463,1.86762,0.000600227,0.000600227,0.000600227
66,188477,1.10471,0.83778,1.22698,0.59717,0.38213,0.40683,0.18353,2.00948,1.90937,1.83242,0.000583558,0.000583558,0.000583558
67,190878,1.10767,0.83493,1.22829,0.52779,0.36935,0.3795,0.16892,2.01358,2.00384,1.85224,0.00056689,0.00056689,0.00056689
68,193291,1.13119,0.83788,1.23544,0.5736,0.39464,0.41524,0.1929,1.97278,1.90353,1.81058,0.000550222,0.000550222,0.000550222
69,195697,1.10726,0.818,1.22933,0.57518,0.37627,0.39082,0.18011,1.96039,1.90748,1.80548,0.000533553,0.000533553,0.000533553
70,198104,1.09513,0.82919,1.21439,0.55399,0.37999,0.40475,0.1905,1.95735,1.8849,1.82279,0.000516885,0.000516885,0.000516885
71,200503,1.10646,0.82343,1.22663,0.55583,0.38905,0.41043,0.1944,1.93851,1.85382,1.77352,0.000500217,0.000500217,0.000500217
72,206009,1.08437,0.79678,1.20994,0.58845,0.37591,0.40766,0.18514,1.98847,1.90445,1.80436,0.000483548,0.000483548,0.000483548
73,210480,1.06919,0.80131,1.21069,0.60626,0.39338,0.41427,0.18283,2.00342,1.89134,1.82124,0.00046688,0.00046688,0.00046688
74,214288,1.08124,0.80534,1.20932,0.56794,0.38523,0.40442,0.18546,1.9645,1.89855,1.81457,0.000450212,0.000450212,0.000450212
75,216990,1.08257,0.81161,1.22419,0.58718,0.36666,0.40118,0.19026,1.96264,1.90388,1.79602,0.000433543,0.000433543,0.000433543
76,220347,1.08464,0.80616,1.2166,0.59119,0.40545,0.42221,0.19782,1.93376,1.82118,1.78425,0.000416875,0.000416875,0.000416875
77,223783,1.09066,0.81462,1.21971,0.54984,0.40849,0.41974,0.19523,1.98059,1.86692,1.81225,0.000400207,0.000400207,0.000400207
78,227189,1.07341,0.79653,1.20625,0.57404,0.40146,0.41941,0.20031,1.93848,1.86885,1.7685,0.000383538,0.000383538,0.000383538
79,229623,1.0439,0.76892,1.19016,0.57513,0.38266,0.40729,0.18978,1.96963,1.90152,1.804,0.00036687,0.00036687,0.00036687
80,232462,1.03313,0.75844,1.18179,0.53876,0.43195,0.42088,0.19576,1.96879,1.83613,1.79735,0.000350202,0.000350202,0.000350202
81,236037,1.07669,0.79987,1.20527,0.55035,0.4094,0.4132,0.19757,1.94777,1.9143,1.7769,0.000333533,0.000333533,0.000333533
82,250928,1.06467,0.79048,1.20367,0.53322,0.40505,0.4218,0.19885,1.96886,1.88877,1.80246,0.000316865,0.000316865,0.000316865
83,254918,1.03043,0.75581,1.18725,0.58804,0.39424,0.41843,0.19657,1.9845,1.88061,1.81588,0.000300197,0.000300197,0.000300197
84,261883,1.03054,0.75822,1.19342,0.56116,0.39901,0.41603,0.19167,1.97334,1.88642,1.80262,0.000283528,0.000283528,0.000283528
85,264387,1.02222,0.74965,1.1812,0.55666,0.38333,0.40617,0.1937,1.95958,1.88631,1.79887,0.00026686,0.00026686,0.00026686
